URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,3,11,-0.571428531,0.245614031,22.8,29.8245614,21.04982456,22.8,34,68,"[3, 1, 1, 2, 2, 1, 3, 2, 3, 2, 2, 1, 3, 3, 1, 2, 2, 1, 4, 1, 1, 1, 3, 3, 2, 1, 5, 4, 2, 1, 1, 1, 4, 4, 3, 2, 3, 4, 2, 1, 4, 4, 1, 3, 5, 4, 3, 1, 2, 4, 1, 3, 4, 1, 1, 4, 5, 2, 3, 3, 3, 2, 3, 3, 4, 3, 4, 2]",,7.701754386
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,8,5,0.230769213,0.419354825,22.25,21.34831461,17.43932584,22.25,19,48,"[2, 1, 4, 2, 3, 3, 3, 2, 1, 5, 2, 2, 3, 2, 3, 4, 3, 2, 4, 2, 1, 1, 4, 3, 1, 2, 2, 3, 1, 1, 1, 3, 4, 2, 3, 1, 1, 1, 2, 2, 2, 2, 1, 3, 2, 5, 2, 3]",,7.322580645
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,7,2,0.555555494,0.118421051,19,32.23684211,20.49473684,19,49,93,"[1, 3, 3, 3, 2, 5, 2, 3, 3, 3, 3, 4, 4, 3, 2, 3, 5, 2, 3, 5, 3, 2, 1, 1, 5, 3, 4, 4, 3, 2, 3, 2, 1, 1, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 3, 1, 2, 4, 1, 2, 4, 2, 1, 4, 4, 3, 2, 2, 4, 2, 1, 4, 2, 4, 1, 3, 3, 2, 4, 2, 4, 3, 4, 1, 1, 3, 3, 2, 3, 2, 4, 2, 2, 3, 3, 1, 3, 4, 5, 1, 3, 3, 2]",,7.407894737
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,6,0,0.999999833,0.285714272,23,19.56521739,17.02608696,23,9,28,"[3, 1, 1, 1, 2, 2, 5, 1, 4, 5, 1, 3, 4, 4, 2, 2, 5, 4, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2]",,7.333333333
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,1,0,0.999999,0.19999996,13,30.76923077,17.50769231,13,4,8,"[3, 5, 1, 3, 4, 2, 1, 1]",,8
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,2,3,-0.19999996,0.087719297,22.2,24.32432432,18.60972973,22.2,27,73,"[4, 4, 2, 1, 1, 2, 4, 4, 2, 2, 1, 1, 1, 3, 1, 1, 3, 2, 1, 4, 1, 1, 2, 2, 2, 3, 4, 2, 3, 3, 4, 2, 2, 4, 1, 5, 2, 2, 3, 2, 4, 5, 1, 1, 2, 3, 2, 1, 3, 2, 2, 3, 3, 2, 4, 1, 2, 4, 2, 4, 2, 1, 1, 3, 1, 5, 1, 2, 2, 2, 2, 1, 3]",,7.210526316
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,3,1,0.499999875,0.19999999,13,25,15.2,13,13,28,"[3, 3, 1, 2, 3, 1, 1, 3, 3, 1, 1, 3, 1, 3, 1, 3, 2, 3, 1, 4, 1, 2, 4, 3, 2, 1, 4, 2]",,6.55
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,,,,,,,,,,,,,
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0,0,0,0,30.5,14.75409836,18.10163934,30.5,9,30,"[3, 2, 3, 1, 1, 1, 3, 3, 4, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 3, 2, 1, 5, 1, 2, 4, 1, 3, 2, 1]",,7.090909091
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,8,0,0.999999875,0.078431372,29.16666667,34.28571429,25.38095238,29.16666667,60,112,"[3, 4, 3, 4, 2, 4, 1, 2, 1, 4, 3, 1, 2, 2, 4, 5, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 4, 3, 4, 4, 3, 2, 2, 1, 2, 2, 1, 2, 2, 4, 1, 2, 3, 4, 3, 3, 2, 3, 3, 4, 1, 3, 2, 5, 3, 3, 4, 3, 1, 2, 2, 4, 2, 3, 2, 1, 2, 3, 3, 1, 2, 2, 3, 4, 3, 3, 1, 1, 2, 3, 3, 1, 2, 2, 4, 5, 1, 2, 3, 4, 2, 2, 2, 3, 2, 4, 1, 1, 2, 3, 4, 1, 3, 3, 3, 4, 3, 2, 4, 3, 3]",,7.696078431
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,1,2,-0.333333222,0.119999995,21.33333333,25,18.53333333,21.33333333,16,31,"[3, 4, 1, 3, 4, 2, 4, 1, 3, 1, 1, 1, 2, 3, 4, 3, 4, 2, 1, 4, 2, 4, 3, 2, 2, 4, 4, 2, 2, 1, 2]",,8
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0,0,0,0,12,0,4.8,12,0,4,"[1, 1, 1, 2]",,5
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0,3,-0.999999667,0.199999987,4.571428571,15.625,8.078571429,4.571428571,5,20,"[1, 1, 4, 2, 5, 1, 2, 2, 2, 3, 4, 1, 1, 2, 2, 4, 1, 1, 1, 2]",,7.4
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,2,0,0.9999995,0.090909087,14.6,13.69863014,11.31945205,14.6,10,29,"[1, 1, 1, 3, 3, 3, 5, 2, 2, 2, 1, 2, 5, 4, 1, 3, 2, 1, 1, 2, 3, 4, 1, 2, 2, 4, 1, 1, 1]",,7.363636364
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,3,3,0,0.24999999,17,19.11764706,14.44705882,17,13,34,"[4, 5, 3, 2, 2, 3, 2, 1, 3, 1, 2, 1, 3, 3, 2, 2, 1, 1, 2, 3, 1, 3, 1, 1, 1, 2, 3, 4, 2, 3, 2, 2, 1, 1]",,7
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,2,0,0.9999995,0.033333333,32.25,27.90697674,24.0627907,32.25,36,76,"[1, 1, 1, 3, 3, 3, 3, 2, 3, 1, 2, 3, 1, 2, 5, 3, 3, 4, 1, 2, 2, 5, 3, 2, 3, 2, 3, 3, 2, 3, 1, 3, 4, 2, 3, 2, 1, 2, 3, 3, 3, 2, 1, 3, 3, 3, 1, 2, 3, 2, 1, 1, 3, 3, 2, 2, 1, 2, 3, 3, 2, 2, 2, 1, 2, 2, 5, 4, 3, 3, 2, 3, 2, 2, 1, 3]",,7.266666667
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0,0,0,0,12,8.333333333,8.133333333,12,1,6,"[1, 2, 3, 1, 2, 1]",,7
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0,0,0,0,0,0,0,0,0,0,[],,0
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0,0,0,0,10.66666667,18.75,11.76666667,10.66666667,6,20,"[1, 3, 1, 3, 3, 2, 2, 2, 2, 2, 1, 3, 4, 2, 1, 1, 2, 1, 3, 2]",,5.875
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,0,0,0,17,17.64705882,13.85882353,17,3,10,"[1, 2, 3, 1, 1, 2, 2, 2, 2, 4]",,6.833333333
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,,,,,,,,,,,,,
